data,hora,temperatura_celsius,temperatura_fahrenheit,temperatura_kelvin,velocidade_vento_ms,velocidade_vento_kmh,velocidade_vento_mph,direcao_vento_graus,direcao_vento_radianos
2026-02-01,00:00:00,19.64,67.35,292.79,3.67,13.21,8.21,101.0,1.762783
2026-02-01,03:00:00,26.74,80.13,299.89,5.4,19.44,12.08,159.3,2.780309
2026-02-01,06:00:00,23.51,74.32,296.66,2.43,8.75,5.44,136.2,2.377138
2026-02-01,09:00:00,26.4,79.52,299.55,5.48,19.73,12.26,87.5,1.527163
2026-02-01,12:00:00,28.09,82.56,301.24,1.83,6.59,4.09,148.8,2.59705
2026-02-01,15:00:00,25.43,77.77,298.58,5.95,21.42,13.31,107.6,1.877974
2026-02-01,18:00:00,28.11,82.6,301.26,5.61,20.2,12.55,164.2,2.865831
2026-02-01,21:00:00,26.5,79.7,299.65,3.49,12.56,7.81,137.9,2.406809
2026-02-02,00:00:00,26.49,79.68,299.64,3.28,11.81,7.34,111.4,1.944297
2026-02-02,03:00:00,23.03,73.45,296.18,3.69,13.28,8.25,116.0,2.024582
2026-02-02,06:00:00,26.14,79.05,299.29,5.38,19.37,12.03,80.8,1.410226
2026-02-02,09:00:00,29.21,84.58,302.36,6.32,22.75,14.14,115.7,2.019346
2026-02-02,12:00:00,31.69,89.04,304.84,4.68,16.85,10.47,89.8,1.567306
2026-02-02,15:00:00,30.79,87.42,303.94,4.86,17.5,10.87,102.1,1.781981
2026-02-02,18:00:00,26.3,79.34,299.45,1.84,6.62,4.12,138.5,2.417281
2026-02-02,21:00:00,28.29,82.92,301.44,2.75,9.9,6.15,148.4,2.590069
2026-02-03,00:00:00,28.85,83.93,302.0,2.24,8.06,5.01,113.1,1.973967
2026-02-03,03:00:00,19.14,66.45,292.29,3.76,13.54,8.41,136.8,2.38761
2026-02-03,06:00:00,23.1,73.58,296.25,6.03,21.71,13.49,134.8,2.352704
2026-02-03,09:00:00,24.9,76.82,298.05,1.44,5.18,3.22,133.5,2.330015
2026-02-03,12:00:00,26.86,80.35,300.01,5.48,19.73,12.26,126.7,2.211332
2026-02-03,15:00:00,34.01,93.22,307.16,5.28,19.01,11.81,156.0,2.722714
2026-02-03,18:00:00,23.19,73.74,296.34,3.47,12.49,7.76,150.6,2.628466
2026-02-03,21:00:00,23.53,74.35,296.68,4.85,17.46,10.85,62.7,1.094321
2026-02-04,00:00:00,21.36,70.45,294.51,5.23,18.83,11.7,105.8,1.846558
2026-02-04,03:00:00,21.89,71.4,295.04,3.72,13.39,8.32,74.9,1.307252
2026-02-04,06:00:00,24.8,76.64,297.95,5.52,19.87,12.35,108.1,1.886701
2026-02-04,09:00:00,29.56,85.21,302.71,3.95,14.22,8.84,100.1,1.747075
2026-02-04,12:00:00,24.02,75.24,297.17,3.94,14.18,8.81,149.8,2.614503
2026-02-04,15:00:00,31.61,88.9,304.76,4.2,15.12,9.4,117.2,2.045526
2026-02-04,18:00:00,21.82,71.28,294.97,2.91,10.48,6.51,157.0,2.740167
2026-02-04,21:00:00,28.48,83.26,301.63,5.44,19.58,12.17,100.0,1.745329
2026-02-05,00:00:00,27.68,81.82,300.83,4.22,15.19,9.44,126.9,2.214823
2026-02-05,03:00:00,21.89,71.4,295.04,3.88,13.97,8.68,104.9,1.83085
2026-02-05,06:00:00,26.28,79.3,299.43,3.43,12.35,7.67,155.4,2.712242
2026-02-05,09:00:00,31.58,88.84,304.73,3.59,12.92,8.03,112.1,1.956514
2026-02-05,12:00:00,28.52,83.34,301.67,4.74,17.06,10.6,125.4,2.188643
2026-02-05,15:00:00,27.32,81.18,300.47,5.41,19.48,12.1,144.2,2.516765
2026-02-05,18:00:00,28.58,83.44,301.73,4.14,14.9,9.26,69.6,1.214749
2026-02-05,21:00:00,26.48,79.66,299.63,4.31,15.52,9.64,55.1,0.961676
2026-02-06,00:00:00,26.52,79.74,299.67,4.64,16.7,10.38,132.5,2.312561
2026-02-06,03:00:00,25.64,78.15,298.79,1.74,6.26,3.89,122.7,2.141519
2026-02-06,06:00:00,22.7,72.86,295.85,4.23,15.23,9.46,116.4,2.031563
2026-02-06,09:00:00,24.58,76.24,297.73,3.98,14.33,8.9,160.2,2.796017
2026-02-06,12:00:00,25.94,78.69,299.09,4.46,16.06,9.98,125.8,2.195624
2026-02-06,15:00:00,26.37,79.47,299.52,3.92,14.11,8.77,113.5,1.980949
2026-02-06,18:00:00,25.14,77.25,298.29,4.43,15.95,9.91,118.4,2.06647
2026-02-06,21:00:00,28.91,84.04,302.06,3.98,14.33,8.9,129.2,2.254965
2026-02-07,00:00:00,20.52,68.94,293.67,1.2,4.32,2.68,54.1,0.944223
2026-02-07,03:00:00,23.46,74.23,296.61,5.38,19.37,12.03,105.6,1.843068
2026-02-07,06:00:00,24.21,75.58,297.36,3.52,12.67,7.87,111.1,1.939061
2026-02-07,09:00:00,27.65,81.77,300.8,3.67,13.21,8.21,118.8,2.073451
2026-02-07,12:00:00,27.31,81.16,300.46,1.14,4.1,2.55,111.0,1.937315
2026-02-07,15:00:00,26.7,80.06,299.85,5.02,18.07,11.23,97.4,1.699951
2026-02-07,18:00:00,25.78,78.4,298.93,4.06,14.62,9.08,125.6,2.192134
2026-02-07,21:00:00,22.16,71.89,295.31,2.4,8.64,5.37,89.6,1.563815
2026-02-08,00:00:00,31.01,87.82,304.16,5.3,19.08,11.86,143.2,2.499311
2026-02-08,03:00:00,21.75,71.15,294.9,3.71,13.36,8.3,122.0,2.129302
2026-02-08,06:00:00,28.28,82.9,301.43,4.36,15.7,9.75,89.8,1.567306
2026-02-08,09:00:00,29.39,84.9,302.54,5.14,18.5,11.5,136.0,2.373648
2026-02-08,12:00:00,31.61,88.9,304.76,2.99,10.76,6.69,67.7,1.181588
2026-02-08,15:00:00,31.72,89.1,304.87,4.37,15.73,9.78,112.3,1.960005
2026-02-08,18:00:00,31.12,88.02,304.27,4.17,15.01,9.33,103.5,1.806416
2026-02-08,21:00:00,26.38,79.48,299.53,4.16,14.98,9.31,129.5,2.260201
2026-02-09,00:00:00,21.18,70.12,294.33,5.84,21.02,13.06,103.4,1.80467
2026-02-09,03:00:00,25.26,77.47,298.41,3.64,13.1,8.14,74.8,1.305506
2026-02-09,06:00:00,27.97,82.35,301.12,5.08,18.29,11.36,110.7,1.932079
2026-02-09,09:00:00,26.98,80.56,300.13,5.58,20.09,12.48,118.7,2.071706
2026-02-09,12:00:00,31.07,87.93,304.22,2.3,8.28,5.14,92.2,1.609194
2026-02-09,15:00:00,24.51,76.12,297.66,2.98,10.73,6.67,143.8,2.509783
2026-02-09,18:00:00,26.59,79.86,299.74,4.1,14.76,9.17,115.9,2.022837
2026-02-09,21:00:00,22.12,71.82,295.27,4.38,15.77,9.8,120.9,2.110103
2026-02-10,00:00:00,22.75,72.95,295.9,5.31,19.12,11.88,67.0,1.169371
2026-02-10,03:00:00,26.0,78.8,299.15,3.19,11.48,7.14,106.8,1.864012
2026-02-10,06:00:00,22.31,72.16,295.46,2.03,7.31,4.54,76.8,1.340413
2026-02-10,09:00:00,28.06,82.51,301.21,1.2,4.32,2.68,81.3,1.418953
2026-02-10,12:00:00,26.65,79.97,299.8,2.15,7.74,4.81,95.8,1.672025
2026-02-10,15:00:00,31.02,87.84,304.17,5.48,19.73,12.26,101.9,1.778491
2026-02-10,18:00:00,27.98,82.36,301.13,4.92,17.71,11.01,124.6,2.17468
2026-02-10,21:00:00,26.66,79.99,299.81,3.75,13.5,8.39,70.1,1.223476
2026-02-11,00:00:00,24.08,75.34,297.23,6.81,24.52,15.23,104.3,1.820378
2026-02-11,03:00:00,30.44,86.79,303.59,7.81,28.12,17.47,92.9,1.621411
2026-02-11,06:00:00,25.42,77.76,298.57,3.08,11.09,6.89,154.7,2.700024
2026-02-11,09:00:00,21.93,71.47,295.08,5.21,18.76,11.65,115.9,2.022837
2026-02-11,12:00:00,36.77,98.19,309.92,4.46,16.06,9.98,121.8,2.125811
2026-02-11,15:00:00,28.32,82.98,301.47,5.94,21.38,13.29,104.3,1.820378
2026-02-11,18:00:00,25.44,77.79,298.59,6.46,23.26,14.45,102.6,1.790708
2026-02-11,21:00:00,24.45,76.01,297.6,5.98,21.53,13.38,148.9,2.598795
2026-02-12,00:00:00,22.71,72.88,295.86,5.32,19.15,11.9,97.7,1.705187
2026-02-12,03:00:00,24.15,75.47,297.3,4.88,17.57,10.92,78.6,1.371829
2026-02-12,06:00:00,22.64,72.75,295.79,5.1,18.36,11.41,102.7,1.792453
2026-02-12,09:00:00,26.33,79.39,299.48,0.1,0.36,0.22,81.9,1.429425
2026-02-12,12:00:00,27.23,81.01,300.38,5.74,20.66,12.84,77.8,1.357866
2026-02-12,15:00:00,25.16,77.29,298.31,5.05,18.18,11.3,128.3,2.239257
2026-02-12,18:00:00,23.13,73.63,296.28,4.1,14.76,9.17,112.6,1.965241
2026-02-12,21:00:00,27.41,81.34,300.56,4.92,17.71,11.01,80.6,1.406735
2026-02-13,00:00:00,20.31,68.56,293.46,3.85,13.86,8.61,145.8,2.54469
2026-02-13,03:00:00,27.2,80.96,300.35,6.82,24.55,15.26,101.3,1.768019
2026-02-13,06:00:00,28.4,83.12,301.55,3.67,13.21,8.21,125.7,2.193879
2026-02-13,09:00:00,31.05,87.89,304.2,4.41,15.88,9.86,119.0,2.076942
2026-02-13,12:00:00,34.36,93.85,307.51,4.96,17.86,11.1,97.8,1.706932
2026-02-13,15:00:00,32.06,89.71,305.21,4.46,16.06,9.98,132.0,2.303835
2026-02-13,18:00:00,21.87,71.37,295.02,5.31,19.12,11.88,138.9,2.424262
2026-02-13,21:00:00,33.62,92.52,306.77,5.0,18.0,11.18,93.2,1.626647
2026-02-14,00:00:00,22.87,73.17,296.02,4.0,14.4,8.95,105.1,1.834341
2026-02-14,03:00:00,23.13,73.63,296.28,4.08,14.69,9.13,140.3,2.448697
2026-02-14,06:00:00,24.91,76.84,298.06,5.05,18.18,11.3,136.8,2.38761
2026-02-14,09:00:00,29.12,84.42,302.27,1.98,7.13,4.43,112.1,1.956514
2026-02-14,12:00:00,28.54,83.37,301.69,4.57,16.45,10.22,128.4,2.241003
2026-02-14,15:00:00,28.42,83.16,301.57,4.4,15.84,9.84,81.3,1.418953
2026-02-14,18:00:00,30.73,87.31,303.88,6.55,23.58,14.65,140.5,2.452188
2026-02-14,21:00:00,23.28,73.9,296.43,5.18,18.65,11.59,77.6,1.354375
2026-02-15,00:00:00,27.02,80.64,300.17,5.52,19.87,12.35,137.5,2.399828
2026-02-15,03:00:00,19.98,67.96,293.13,5.81,20.92,13.0,103.2,1.80118
2026-02-15,06:00:00,24.79,76.62,297.94,4.12,14.83,9.22,134.5,2.347468
2026-02-15,09:00:00,27.44,81.39,300.59,3.81,13.72,8.52,131.3,2.291617
2026-02-15,12:00:00,24.74,76.53,297.89,5.87,21.13,13.13,80.8,1.410226
2026-02-15,15:00:00,28.21,82.78,301.36,4.19,15.08,9.37,109.8,1.916372
2026-02-15,18:00:00,32.32,90.18,305.47,4.06,14.62,9.08,87.9,1.534144
2026-02-15,21:00:00,24.06,75.31,297.21,3.83,13.79,8.57,99.9,1.743584
2026-02-16,00:00:00,21.01,69.82,294.16,4.51,16.24,10.09,122.6,2.139774
2026-02-16,03:00:00,19.93,67.87,293.08,4.57,16.45,10.22,91.5,1.596976
2026-02-16,06:00:00,28.1,82.58,301.25,2.61,9.4,5.84,91.9,1.603958
2026-02-16,09:00:00,30.51,86.92,303.66,5.03,18.11,11.25,149.1,2.602286
2026-02-16,12:00:00,29.42,84.96,302.57,3.64,13.1,8.14,76.9,1.342158
2026-02-16,15:00:00,19.72,67.5,292.87,1.45,5.22,3.24,124.5,2.172935
2026-02-16,18:00:00,20.76,69.37,293.91,5.3,19.08,11.86,110.3,1.925098
2026-02-16,21:00:00,27.03,80.65,300.18,2.87,10.33,6.42,101.7,1.775
2026-02-17,00:00:00,25.84,78.51,298.99,5.02,18.07,11.23,116.9,2.04029
