data,hora,temperatura_celsius,umidade_ar_%,direcao_vento_graus
2026-05-01,00:00:00,10.14,76.7,198.2
2026-05-01,03:00:00,16.63,73.9,163.8
2026-05-01,06:00:00,16.72,70.7,179.9
2026-05-01,09:00:00,16.52,83.1,190.7
2026-05-01,12:00:00,17.42,69.9,165.8
2026-05-01,15:00:00,21.43,70.0,165.4
2026-05-01,18:00:00,19.06,74.1,178.9
2026-05-01,21:00:00,15.68,82.7,136.4
2026-05-02,00:00:00,15.43,84.3,189.7
2026-05-02,03:00:00,15.32,77.6,216.6
2026-05-02,06:00:00,18.73,70.4,155.0
2026-05-02,09:00:00,18.12,80.7,154.9
2026-05-02,12:00:00,19.87,77.5,192.2
2026-05-02,15:00:00,16.81,78.4,202.1
2026-05-02,18:00:00,20.04,80.2,165.8
2026-05-02,21:00:00,13.87,80.5,185.6
2026-05-03,00:00:00,16.86,87.1,164.8
2026-05-03,03:00:00,15.04,84.7,181.9
2026-05-03,06:00:00,19.63,80.8,152.6
2026-05-03,09:00:00,19.95,71.6,185.9
2026-05-03,12:00:00,19.79,71.1,159.1
2026-05-03,15:00:00,19.83,79.0,186.8
2026-05-03,18:00:00,17.34,80.5,156.0
2026-05-03,21:00:00,18.53,85.6,208.4
2026-05-04,00:00:00,18.66,89.9,211.6
2026-05-04,03:00:00,15.49,81.2,157.1
2026-05-04,06:00:00,17.35,85.2,206.4
2026-05-04,09:00:00,18.34,69.2,133.2
2026-05-04,12:00:00,19.43,70.2,192.5
2026-05-04,15:00:00,22.35,72.1,168.5
2026-05-04,18:00:00,15.34,69.7,225.2
2026-05-04,21:00:00,20.46,80.0,133.5
2026-05-05,00:00:00,15.88,86.6,176.7
2026-05-05,03:00:00,14.37,74.2,166.7
2026-05-05,06:00:00,16.49,74.4,194.4
2026-05-05,09:00:00,18.57,78.6,174.4
2026-05-05,12:00:00,23.58,72.5,220.7
2026-05-05,15:00:00,17.38,78.7,200.8
2026-05-05,18:00:00,12.84,76.7,179.9
2026-05-05,21:00:00,18.17,72.7,170.3
2026-05-06,00:00:00,21.17,90.8,194.0
2026-05-06,03:00:00,18.54,79.2,190.4
2026-05-06,06:00:00,16.38,75.4,155.3
2026-05-06,09:00:00,19.35,77.3,175.3
2026-05-06,12:00:00,18.29,72.4,202.3
2026-05-06,15:00:00,22.66,78.6,175.4
2026-05-06,18:00:00,20.38,77.9,156.1
2026-05-06,21:00:00,15.39,86.9,148.5
2026-05-07,00:00:00,10.47,91.9,188.3
2026-05-07,03:00:00,17.84,79.6,185.1
2026-05-07,06:00:00,18.26,80.9,144.3
2026-05-07,09:00:00,18.69,78.9,175.0
2026-05-07,12:00:00,19.06,74.3,170.6
2026-05-07,15:00:00,16.33,69.1,224.2
2026-05-07,18:00:00,15.65,94.7,186.8
2026-05-07,21:00:00,15.1,77.4,170.2
2026-05-08,00:00:00,10.76,87.4,204.7
2026-05-08,03:00:00,15.82,81.3,169.8
2026-05-08,06:00:00,19.27,82.5,121.3
2026-05-08,09:00:00,20.36,79.5,173.0
2026-05-08,12:00:00,17.19,64.5,171.7
2026-05-08,15:00:00,18.81,65.6,195.7
2026-05-08,18:00:00,17.94,69.4,136.8
2026-05-08,21:00:00,18.78,85.8,196.3
2026-05-09,00:00:00,15.0,82.3,187.0
2026-05-09,03:00:00,16.5,87.3,197.3
2026-05-09,06:00:00,18.01,81.9,163.4
2026-05-09,09:00:00,16.64,67.7,192.1
2026-05-09,12:00:00,22.14,68.6,201.4
2026-05-09,15:00:00,18.06,76.4,191.6
2026-05-09,18:00:00,19.3,63.8,200.7
2026-05-09,21:00:00,14.0,86.1,218.3
2026-05-10,00:00:00,13.66,95.4,152.9
2026-05-10,03:00:00,15.56,82.2,159.9
2026-05-10,06:00:00,14.97,64.5,182.9
2026-05-10,09:00:00,20.97,83.7,193.2
2026-05-10,12:00:00,16.97,68.7,234.9
2026-05-10,15:00:00,23.14,72.0,175.4
2026-05-10,18:00:00,15.99,73.3,194.9
2026-05-10,21:00:00,18.2,71.4,182.5
2026-05-11,00:00:00,12.59,80.7,226.3
2026-05-11,03:00:00,14.23,83.3,158.4
2026-05-11,06:00:00,12.3,70.6,193.3
2026-05-11,09:00:00,18.85,70.5,162.0
2026-05-11,12:00:00,19.73,68.5,189.7
2026-05-11,15:00:00,13.04,68.1,158.6
2026-05-11,18:00:00,14.76,65.7,207.4
2026-05-11,21:00:00,18.44,88.9,164.8
2026-05-12,00:00:00,12.04,89.9,158.8
2026-05-12,03:00:00,10.13,82.2,165.3
2026-05-12,06:00:00,18.68,81.4,173.4
2026-05-12,09:00:00,17.59,67.7,170.3
2026-05-12,12:00:00,14.67,81.3,201.8
2026-05-12,15:00:00,15.95,64.9,213.3
2026-05-12,18:00:00,18.87,78.9,178.2
2026-05-12,21:00:00,13.08,76.7,184.8
2026-05-13,00:00:00,15.25,77.3,176.6
2026-05-13,03:00:00,18.69,84.2,211.5
2026-05-13,06:00:00,16.94,74.2,182.8
2026-05-13,09:00:00,22.18,68.2,192.0
2026-05-13,12:00:00,24.93,65.8,165.7
2026-05-13,15:00:00,17.86,74.5,154.4
2026-05-13,18:00:00,15.39,81.6,147.7
2026-05-13,21:00:00,14.28,89.7,213.3
2026-05-14,00:00:00,10.37,80.7,183.1
2026-05-14,03:00:00,19.91,83.3,170.8
2026-05-14,06:00:00,17.26,75.9,193.5
2026-05-14,09:00:00,16.71,70.6,170.0
2026-05-14,12:00:00,19.78,77.0,181.7
2026-05-14,15:00:00,15.57,78.0,139.0
2026-05-14,18:00:00,20.57,75.4,178.3
2026-05-14,21:00:00,19.85,79.2,176.9
2026-05-15,00:00:00,16.87,89.7,225.6
2026-05-15,03:00:00,18.85,67.2,181.8
2026-05-15,06:00:00,19.52,78.8,181.7
2026-05-15,09:00:00,18.53,78.8,169.2
2026-05-15,12:00:00,16.76,71.3,205.8
2026-05-15,15:00:00,21.09,72.6,206.9
2026-05-15,18:00:00,19.61,86.9,188.4
2026-05-15,21:00:00,10.81,77.4,188.5
2026-05-16,00:00:00,15.76,82.9,220.7
2026-05-16,03:00:00,16.65,83.0,172.7
2026-05-16,06:00:00,20.75,80.3,195.1
2026-05-16,09:00:00,22.78,75.0,166.0
2026-05-16,12:00:00,27.58,60.2,160.6
2026-05-16,15:00:00,21.91,79.1,201.7
2026-05-16,18:00:00,17.69,82.8,205.3
2026-05-16,21:00:00,18.29,81.3,179.2
2026-05-17,00:00:00,16.4,82.2,170.1
2026-05-17,03:00:00,19.62,83.4,145.8
2026-05-17,06:00:00,15.14,81.2,184.9
2026-05-17,09:00:00,17.75,73.0,179.3
2026-05-17,12:00:00,19.66,74.9,228.6
2026-05-17,15:00:00,15.21,74.1,177.8
2026-05-17,18:00:00,18.6,76.7,144.3
2026-05-17,21:00:00,15.52,90.3,215.5
2026-05-18,00:00:00,11.71,85.4,160.7
2026-05-18,03:00:00,18.26,87.6,125.2
2026-05-18,06:00:00,13.26,76.3,168.0
2026-05-18,09:00:00,15.98,73.2,114.5
2026-05-18,12:00:00,17.77,65.8,178.1
2026-05-18,15:00:00,17.89,79.5,236.0
2026-05-18,18:00:00,13.9,77.7,179.3
2026-05-18,21:00:00,18.64,82.4,237.8
2026-05-19,00:00:00,14.4,74.5,185.0
2026-05-19,03:00:00,19.87,88.8,147.1
2026-05-19,06:00:00,16.58,71.9,204.3
2026-05-19,09:00:00,20.01,76.0,203.4
2026-05-19,12:00:00,20.81,73.9,207.8
2026-05-19,15:00:00,18.28,78.6,174.0
2026-05-19,18:00:00,17.56,68.9,216.6
