data,hora,temperatura_celsius,velocidade_vento_ms,direcao_vento_graus
2024-01-01,00:00:00,21.78,3.11,175.4
2024-01-01,03:00:00,22.76,1.77,127.6
2024-01-01,06:00:00,26.47,4.33,110.8
2024-01-01,09:00:00,32.24,4.25,184.7
2024-01-01,12:00:00,30.28,3.84,156.3
2024-01-01,15:00:00,30.49,2.59,141.0
2024-01-01,18:00:00,24.04,5.02,105.9
2024-01-01,21:00:00,25.4,2.57,129.0
2024-01-02,00:00:00,27.79,4.93,104.3
2024-01-02,03:00:00,20.22,4.39,103.1
2024-01-02,06:00:00,23.72,4.37,89.3
2024-01-02,09:00:00,30.29,4.84,121.1
2024-01-02,12:00:00,25.8,3.26,158.7
2024-01-02,15:00:00,28.41,5.04,121.9
2024-01-02,18:00:00,26.45,3.76,123.9
2024-01-02,21:00:00,25.24,4.56,150.8
2024-01-03,00:00:00,23.11,2.37,103.7
2024-01-03,03:00:00,21.45,1.05,120.5
2024-01-03,06:00:00,23.72,5.75,106.3
2024-01-03,09:00:00,23.53,4.0,120.4
2024-01-03,12:00:00,31.21,3.72,168.2
2024-01-03,15:00:00,25.73,3.82,109.3
2024-01-03,18:00:00,24.58,1.51,136.1
2024-01-03,21:00:00,19.28,3.98,132.1
2024-01-04,00:00:00,24.8,1.61,141.2
2024-01-04,03:00:00,22.19,4.01,111.2
2024-01-04,06:00:00,32.01,2.84,115.1
2024-01-04,09:00:00,28.72,1.75,108.5
2024-01-04,12:00:00,27.89,3.83,111.6
2024-01-04,15:00:00,33.27,5.88,151.7
2024-01-04,18:00:00,26.0,4.31,173.6
2024-01-04,21:00:00,29.71,4.36,107.2
2024-01-05,00:00:00,27.1,4.49,123.0
2024-01-05,03:00:00,23.93,1.91,83.4
2024-01-05,06:00:00,22.24,3.9,126.2
2024-01-05,09:00:00,25.68,3.24,156.4
2024-01-05,12:00:00,24.98,3.02,90.3
2024-01-05,15:00:00,33.85,3.07,156.6
2024-01-05,18:00:00,28.39,2.75,136.6
2024-01-05,21:00:00,24.94,4.12,125.7
2024-01-06,00:00:00,25.5,4.25,101.4
2024-01-06,03:00:00,26.61,2.58,87.7
2024-01-06,06:00:00,24.9,2.45,103.6
2024-01-06,09:00:00,24.53,4.55,142.6
2024-01-06,12:00:00,26.62,5.14,118.2
2024-01-06,15:00:00,25.55,2.29,130.9
2024-01-06,18:00:00,25.75,3.83,194.8
2024-01-06,21:00:00,27.12,3.42,93.2
2024-01-07,00:00:00,22.31,2.68,104.9
2024-01-07,03:00:00,17.1,3.7,92.3
2024-01-07,06:00:00,32.74,3.22,144.1
2024-01-07,09:00:00,28.87,2.58,125.9
2024-01-07,12:00:00,27.26,3.05,119.1
2024-01-07,15:00:00,21.84,5.21,134.5
2024-01-07,18:00:00,25.57,5.2,95.3
2024-01-07,21:00:00,16.56,3.82,98.3
2024-01-08,00:00:00,23.29,2.83,114.1
2024-01-08,03:00:00,21.2,3.42,138.4
2024-01-08,06:00:00,27.11,5.59,135.0
2024-01-08,09:00:00,29.01,3.75,133.7
2024-01-08,12:00:00,28.0,1.92,92.6
2024-01-08,15:00:00,22.23,3.18,122.2
2024-01-08,18:00:00,27.35,4.84,107.9
2024-01-08,21:00:00,17.67,2.64,118.7
2024-01-09,00:00:00,17.65,1.96,91.2
2024-01-09,03:00:00,30.25,4.8,101.4
2024-01-09,06:00:00,24.44,3.58,125.6
2024-01-09,09:00:00,28.32,2.05,94.6
2024-01-09,12:00:00,32.57,3.43,145.4
2024-01-09,15:00:00,27.65,3.78,126.5
2024-01-09,18:00:00,25.12,4.93,140.9
2024-01-09,21:00:00,24.01,3.68,159.9
2024-01-10,00:00:00,20.57,4.49,148.4
2024-01-10,03:00:00,29.02,5.26,99.7
2024-01-10,06:00:00,28.48,3.08,140.9
2024-01-10,09:00:00,28.29,4.58,103.1
2024-01-10,12:00:00,29.03,4.15,133.8
2024-01-10,15:00:00,30.54,5.72,96.7
2024-01-10,18:00:00,26.25,1.49,135.7
2024-01-10,21:00:00,29.08,3.74,150.1
2024-01-11,00:00:00,29.69,4.03,143.2
2024-01-11,03:00:00,27.14,2.6,89.4
2024-01-11,06:00:00,24.81,2.45,135.5
2024-01-11,09:00:00,20.93,1.02,73.2
2024-01-11,12:00:00,29.1,3.17,114.8
2024-01-11,15:00:00,26.61,2.89,99.6
2024-01-11,18:00:00,26.55,3.21,127.0
2024-01-11,21:00:00,23.94,3.58,120.6
2024-01-12,00:00:00,29.69,5.99,148.4
2024-01-12,03:00:00,18.48,4.21,155.1
2024-01-12,06:00:00,27.35,1.64,111.8
2024-01-12,09:00:00,35.68,3.25,82.4
2024-01-12,12:00:00,27.85,4.68,121.5
2024-01-12,15:00:00,24.16,0.81,124.3
2024-01-12,18:00:00,20.79,4.64,149.4
2024-01-12,21:00:00,25.3,3.46,116.4
2024-01-13,00:00:00,22.69,2.57,95.4
2024-01-13,03:00:00,21.26,5.38,165.3
2024-01-13,06:00:00,26.08,4.15,111.5
2024-01-13,09:00:00,28.15,5.13,145.2
2024-01-13,12:00:00,31.56,4.36,140.7
2024-01-13,15:00:00,25.59,4.39,76.7
2024-01-13,18:00:00,26.61,3.91,130.7
2024-01-13,21:00:00,18.35,4.64,88.4
2024-01-14,00:00:00,15.96,3.31,117.3
2024-01-14,03:00:00,19.15,3.84,115.6
2024-01-14,06:00:00,25.78,1.91,139.1
2024-01-14,09:00:00,27.95,3.19,90.0
2024-01-14,12:00:00,26.22,3.12,73.1
2024-01-14,15:00:00,25.25,5.01,116.0
2024-01-14,18:00:00,25.85,2.99,140.3
2024-01-14,21:00:00,27.2,3.78,108.8
