data,hora,temperatura_celsius,temperatura_fahrenheit,temperatura_kelvin,velocidade_vento_ms,velocidade_vento_kmh,velocidade_vento_mph,direcao_vento_graus,direcao_vento_radianos
2024-08-01,00:00:00,19.14,66.45,292.29,5.88,21.17,13.15,198.0,3.455752
2024-08-01,03:00:00,15.05,59.09,288.2,3.85,13.86,8.61,196.3,3.426081
2024-08-01,06:00:00,20.02,68.04,293.17,4.47,16.09,10.0,194.6,3.396411
2024-08-01,09:00:00,24.95,76.91,298.1,4.33,15.59,9.69,195.1,3.405137
2024-08-01,12:00:00,26.02,78.84,299.17,2.63,9.47,5.88,197.7,3.450516
2024-08-01,15:00:00,21.59,70.86,294.74,5.39,19.4,12.06,178.2,3.110177
2024-08-01,18:00:00,15.83,60.49,288.98,2.46,8.86,5.5,174.9,3.052581
2024-08-01,21:00:00,16.06,60.91,289.21,3.57,12.85,7.99,134.8,2.352704
2024-08-02,00:00:00,13.82,56.88,286.97,4.41,15.88,9.86,167.2,2.918191
2024-08-02,03:00:00,9.32,48.78,282.47,4.88,17.57,10.92,174.1,3.038618
2024-08-02,06:00:00,18.67,65.61,291.82,2.38,8.57,5.32,246.2,4.297001
2024-08-02,09:00:00,19.73,67.51,292.88,1.0,3.6,2.24,185.4,3.23584
2024-08-02,12:00:00,21.91,71.44,295.06,3.55,12.78,7.94,129.7,2.263692
2024-08-02,15:00:00,23.64,74.55,296.79,4.14,14.9,9.26,206.7,3.607596
2024-08-02,18:00:00,16.89,62.4,290.04,3.05,10.98,6.82,183.5,3.202679
2024-08-02,21:00:00,15.18,59.32,288.33,2.55,9.18,5.7,161.8,2.823943
2024-08-03,00:00:00,20.36,68.65,293.51,4.42,15.91,9.89,192.2,3.354523
2024-08-03,03:00:00,12.0,53.6,285.15,4.63,16.67,10.36,208.7,3.642502
2024-08-03,06:00:00,20.88,69.58,294.03,5.85,21.06,13.09,140.4,2.450442
2024-08-03,09:00:00,16.8,62.24,289.95,4.7,16.92,10.51,194.4,3.39292
2024-08-03,12:00:00,26.14,79.05,299.29,5.4,19.44,12.08,171.6,2.994985
2024-08-03,15:00:00,19.18,66.52,292.33,3.89,14.0,8.7,152.9,2.668608
2024-08-03,18:00:00,14.94,58.89,288.09,5.41,19.48,12.1,176.7,3.083997
2024-08-03,21:00:00,13.87,56.97,287.02,3.64,13.1,8.14,203.9,3.558726
2024-08-04,00:00:00,14.78,58.6,287.93,4.58,16.49,10.25,195.0,3.403392
2024-08-04,03:00:00,19.56,67.21,292.71,5.82,20.95,13.02,174.1,3.038618
2024-08-04,06:00:00,17.99,64.38,291.14,4.2,15.12,9.4,199.2,3.476696
2024-08-04,09:00:00,19.22,66.6,292.37,3.38,12.17,7.56,218.3,3.810054
2024-08-04,12:00:00,21.9,71.42,295.05,3.54,12.74,7.92,195.7,3.415609
2024-08-04,15:00:00,21.02,69.84,294.17,5.68,20.45,12.71,179.0,3.124139
2024-08-04,18:00:00,21.4,70.52,294.55,5.22,18.79,11.68,168.2,2.935644
2024-08-04,21:00:00,16.72,62.1,289.87,5.23,18.83,11.7,189.8,3.312635
2024-08-05,00:00:00,18.59,65.46,291.74,3.71,13.36,8.3,204.2,3.563962
2024-08-05,03:00:00,16.6,61.88,289.75,3.71,13.36,8.3,190.3,3.321362
2024-08-05,06:00:00,17.33,63.19,290.48,3.49,12.56,7.81,213.2,3.721042
