data,hora,temperatura_celsius,umidade_ar_%,direcao_vento_graus
2025-08-01,00:00:00,16.01,67.6,222.0
2025-08-01,03:00:00,19.07,64.6,212.3
2025-08-01,06:00:00,20.21,68.3,152.0
2025-08-01,09:00:00,15.14,45.4,163.0
2025-08-01,12:00:00,25.52,63.6,164.6
2025-08-01,15:00:00,25.78,62.7,175.3
2025-08-01,18:00:00,17.39,54.0,166.6
2025-08-01,21:00:00,16.35,70.8,172.8
2025-08-02,00:00:00,16.83,69.0,133.3
2025-08-02,03:00:00,17.96,79.3,156.2
2025-08-02,06:00:00,17.02,63.4,202.7
2025-08-02,09:00:00,24.41,56.6,164.9
2025-08-02,12:00:00,19.44,57.9,126.8
2025-08-02,15:00:00,18.04,56.1,175.1
2025-08-02,18:00:00,19.21,60.3,164.6
2025-08-02,21:00:00,15.74,64.3,172.7
2025-08-03,00:00:00,13.32,70.9,174.5
2025-08-03,03:00:00,17.8,62.8,186.9
2025-08-03,06:00:00,19.51,67.0,177.0
2025-08-03,09:00:00,19.69,58.2,176.6
2025-08-03,12:00:00,24.76,49.0,173.5
2025-08-03,15:00:00,20.92,62.8,184.2
2025-08-03,18:00:00,18.63,75.4,157.6
2025-08-03,21:00:00,18.32,55.8,223.0
2025-08-04,00:00:00,16.99,68.4,182.3
2025-08-04,03:00:00,16.2,67.0,202.8
2025-08-04,06:00:00,19.9,62.7,197.9
2025-08-04,09:00:00,22.39,57.9,206.5
2025-08-04,12:00:00,23.18,48.9,222.0
2025-08-04,15:00:00,17.17,61.6,190.8
2025-08-04,18:00:00,20.73,67.7,183.8
2025-08-04,21:00:00,19.11,69.1,141.3
2025-08-05,00:00:00,16.42,71.2,176.3
2025-08-05,03:00:00,18.46,68.6,167.7
2025-08-05,06:00:00,20.98,60.8,151.4
2025-08-05,09:00:00,21.45,67.1,160.2
2025-08-05,12:00:00,21.93,56.9,177.9
2025-08-05,15:00:00,18.19,53.4,174.9
2025-08-05,18:00:00,16.0,61.5,164.0
2025-08-05,21:00:00,16.68,66.7,141.7
2025-08-06,00:00:00,15.37,76.1,169.3
2025-08-06,03:00:00,15.47,69.1,238.5
2025-08-06,06:00:00,20.03,64.9,205.8
2025-08-06,09:00:00,20.17,53.2,185.9
2025-08-06,12:00:00,21.7,53.7,147.5
2025-08-06,15:00:00,19.83,62.3,184.7
2025-08-06,18:00:00,25.83,58.5,197.6
2025-08-06,21:00:00,22.33,62.8,193.8
2025-08-07,00:00:00,12.83,77.7,182.6
2025-08-07,03:00:00,14.8,64.6,188.8
2025-08-07,06:00:00,22.28,63.0,146.9
2025-08-07,09:00:00,22.29,57.0,193.1
2025-08-07,12:00:00,22.78,57.6,171.6
2025-08-07,15:00:00,26.79,58.4,153.7
2025-08-07,18:00:00,21.82,57.2,163.2
2025-08-07,21:00:00,19.7,88.3,179.1
2025-08-08,00:00:00,19.59,70.3,160.2
2025-08-08,03:00:00,20.55,69.3,198.4
2025-08-08,06:00:00,19.59,56.9,161.8
2025-08-08,09:00:00,16.72,52.2,127.3
2025-08-08,12:00:00,18.81,50.6,207.1
2025-08-08,15:00:00,21.98,46.8,170.7
2025-08-08,18:00:00,20.39,62.5,164.9
2025-08-08,21:00:00,18.88,71.6,209.1
2025-08-09,00:00:00,18.7,55.7,173.6
2025-08-09,03:00:00,19.13,70.2,152.4
2025-08-09,06:00:00,14.46,54.5,163.6
2025-08-09,09:00:00,18.72,56.1,161.4
2025-08-09,12:00:00,18.36,53.3,214.1
2025-08-09,15:00:00,21.99,68.9,164.0
2025-08-09,18:00:00,18.84,64.0,196.6
2025-08-09,21:00:00,14.2,67.8,214.2
2025-08-10,00:00:00,18.06,61.6,166.6
2025-08-10,03:00:00,18.65,65.4,169.0
2025-08-10,06:00:00,16.27,71.0,174.4
2025-08-10,09:00:00,18.52,52.3,177.4
2025-08-10,12:00:00,27.18,59.5,166.1
2025-08-10,15:00:00,22.49,49.9,185.5
2025-08-10,18:00:00,21.93,46.2,172.1
2025-08-10,21:00:00,17.05,71.1,154.2
2025-08-11,00:00:00,16.12,80.1,197.0
2025-08-11,03:00:00,19.74,50.2,221.1
2025-08-11,06:00:00,21.9,74.4,218.4
2025-08-11,09:00:00,21.49,62.7,176.8
2025-08-11,12:00:00,20.78,41.6,191.8
2025-08-11,15:00:00,21.92,60.3,188.6
2025-08-11,18:00:00,19.18,70.7,194.4
2025-08-11,21:00:00,14.42,60.5,211.7
2025-08-12,00:00:00,14.65,69.6,138.1
2025-08-12,03:00:00,19.64,73.5,184.7
2025-08-12,06:00:00,18.03,67.7,230.4
2025-08-12,09:00:00,22.53,61.2,141.7
2025-08-12,12:00:00,17.3,53.6,199.9
2025-08-12,15:00:00,20.36,54.6,220.1
2025-08-12,18:00:00,24.05,60.6,234.3
2025-08-12,21:00:00,12.87,63.5,160.0
2025-08-13,00:00:00,17.91,64.5,200.0
2025-08-13,03:00:00,16.75,58.7,167.1
2025-08-13,06:00:00,21.3,56.8,172.7
2025-08-13,09:00:00,22.71,53.7,174.9
2025-08-13,12:00:00,18.84,55.9,144.0
2025-08-13,15:00:00,16.72,64.7,181.1
2025-08-13,18:00:00,18.71,64.7,184.3
2025-08-13,21:00:00,21.04,65.6,184.4
2025-08-14,00:00:00,16.67,61.1,161.2
2025-08-14,03:00:00,15.53,64.3,224.0
2025-08-14,06:00:00,15.45,66.4,222.9
2025-08-14,09:00:00,22.65,64.5,195.2
2025-08-14,12:00:00,20.28,67.6,180.5
2025-08-14,15:00:00,19.34,54.9,154.2
2025-08-14,18:00:00,16.97,56.6,162.1
2025-08-14,21:00:00,21.15,72.8,185.0
2025-08-15,00:00:00,19.22,67.3,164.3
2025-08-15,03:00:00,16.24,66.7,195.8
2025-08-15,06:00:00,23.17,58.8,175.3
2025-08-15,09:00:00,22.47,55.4,177.2
2025-08-15,12:00:00,19.73,57.8,157.4
2025-08-15,15:00:00,23.27,47.6,209.0
2025-08-15,18:00:00,15.59,55.1,108.3
2025-08-15,21:00:00,15.32,73.2,201.8
2025-08-16,00:00:00,12.63,70.4,151.5
2025-08-16,03:00:00,16.07,65.0,186.9
2025-08-16,06:00:00,21.04,61.0,205.2
2025-08-16,09:00:00,25.01,61.4,192.0
2025-08-16,12:00:00,19.71,68.7,213.5
2025-08-16,15:00:00,12.93,60.2,183.5
2025-08-16,18:00:00,20.03,61.9,161.7
2025-08-16,21:00:00,21.0,81.9,157.7
2025-08-17,00:00:00,19.02,77.1,151.4
2025-08-17,03:00:00,22.87,57.3,171.3
2025-08-17,06:00:00,17.09,62.5,164.2
2025-08-17,09:00:00,20.57,47.7,177.1
2025-08-17,12:00:00,22.42,42.6,172.3
2025-08-17,15:00:00,22.81,56.3,170.5
2025-08-17,18:00:00,19.36,58.1,149.8
2025-08-17,21:00:00,18.67,62.7,219.2
2025-08-18,00:00:00,17.81,69.7,181.1
2025-08-18,03:00:00,16.92,76.9,151.6
2025-08-18,06:00:00,22.71,70.5,174.8
2025-08-18,09:00:00,20.99,62.7,187.0
2025-08-18,12:00:00,23.57,46.3,203.9
2025-08-18,15:00:00,20.35,66.1,169.9
2025-08-18,18:00:00,16.42,67.5,174.7
2025-08-18,21:00:00,15.75,59.9,228.4
2025-08-19,00:00:00,16.01,62.8,239.0
2025-08-19,03:00:00,19.8,73.7,177.0
2025-08-19,06:00:00,20.36,59.7,191.5
2025-08-19,09:00:00,19.91,63.0,220.6
2025-08-19,12:00:00,21.05,62.0,222.9
2025-08-19,15:00:00,24.59,63.3,199.0
2025-08-19,18:00:00,17.22,59.3,167.0
2025-08-19,21:00:00,17.01,67.5,172.1
2025-08-20,00:00:00,15.47,61.5,206.2
